time_ms,temp_C,bus_V,current_mA,power_mW
30686,22.7500,3.3120,17.4000,57.6288
31686,22.7500,3.3080,17.4000,57.5592
32686,22.7500,3.3120,17.4000,57.6288
33686,22.7500,3.2520,17.1000,55.6092
34686,22.7500,3.3120,17.4000,57.6288
35686,22.8125,3.3120,17.4000,57.6288
36686,22.7500,3.3080,17.4000,57.5592
37686,22.7500,3.3120,17.4000,57.6288
38686,22.7500,3.3120,17.4000,57.6288
39686,22.8125,3.3120,17.4000,57.6288
40686,22.8125,3.3160,17.4000,57.6984
41686,22.8125,3.3080,17.4000,57.5592
42686,22.8125,3.3120,17.4000,57.6288
43686,22.8125,3.3120,17.4000,57.6288
44686,22.8125,3.3080,17.4000,57.5592
45686,22.8125,3.3080,17.4000,57.5592
46686,22.8125,3.3080,17.5000,57.8900
47686,22.8125,3.3120,17.4000,57.6288
48686,22.8125,3.3160,17.4000,57.6984
49686,22.7500,3.3120,17.4000,57.6288
50686,22.8125,3.3120,17.5000,57.9600
